DSC,simulate,simulate.sfix,simulate.se:output,simulate.rho,simulate.pve,simulate.output.file,simulate.dims,fit,fit.output.file,fit.DSC_TIME:output,mse.err:output,coef_mse.err:output
1,equicorrgauss,2,equicorrgauss/equicorrgauss_2,0.6,0.8,equicorrgauss/equicorrgauss_2,"(50,200)",lasso_1se,lasso_1se/equicorrgauss_2_lasso_1se_1,lasso_1se/equicorrgauss_2_lasso_1se_1,NA,coef_mse/equicorrgauss_2_lasso_1se_1_coef_mse_1
1,equicorrgauss,5,equicorrgauss/equicorrgauss_3,0.6,0.8,equicorrgauss/equicorrgauss_3,"(50,200)",lasso_1se,lasso_1se/equicorrgauss_3_lasso_1se_1,lasso_1se/equicorrgauss_3_lasso_1se_1,NA,coef_mse/equicorrgauss_3_lasso_1se_1_coef_mse_1
1,equicorrgauss,10,equicorrgauss/equicorrgauss_4,0.6,0.8,equicorrgauss/equicorrgauss_4,"(50,200)",lasso_1se,lasso_1se/equicorrgauss_4_lasso_1se_1,lasso_1se/equicorrgauss_4_lasso_1se_1,NA,coef_mse/equicorrgauss_4_lasso_1se_1_coef_mse_1
2,equicorrgauss,1,equicorrgauss/equicorrgauss_5,0.6,0.8,equicorrgauss/equicorrgauss_5,"(50,200)",lasso_1se,lasso_1se/equicorrgauss_5_lasso_1se_1,lasso_1se/equicorrgauss_5_lasso_1se_1,NA,coef_mse/equicorrgauss_5_lasso_1se_1_coef_mse_1
2,equicorrgauss,2,equicorrgauss/equicorrgauss_6,0.6,0.8,equicorrgauss/equicorrgauss_6,"(50,200)",lasso_1se,lasso_1se/equicorrgauss_6_lasso_1se_1,lasso_1se/equicorrgauss_6_lasso_1se_1,NA,coef_mse/equicorrgauss_6_lasso_1se_1_coef_mse_1
2,equicorrgauss,5,equicorrgauss/equicorrgauss_7,0.6,0.8,equicorrgauss/equicorrgauss_7,"(50,200)",lasso_1se,lasso_1se/equicorrgauss_7_lasso_1se_1,lasso_1se/equicorrgauss_7_lasso_1se_1,NA,coef_mse/equicorrgauss_7_lasso_1se_1_coef_mse_1
2,equicorrgauss,10,equicorrgauss/equicorrgauss_8,0.6,0.8,equicorrgauss/equicorrgauss_8,"(50,200)",lasso_1se,lasso_1se/equicorrgauss_8_lasso_1se_1,lasso_1se/equicorrgauss_8_lasso_1se_1,NA,coef_mse/equicorrgauss_8_lasso_1se_1_coef_mse_1
1,equicorrgauss,1,equicorrgauss/equicorrgauss_1,0.6,0.8,equicorrgauss/equicorrgauss_1,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_1_elastic_net_1se_1,elastic_net_1se/equicorrgauss_1_elastic_net_1se_1,mse/equicorrgauss_1_elastic_net_1se_1_predict_linear_1_mse_1,NA
1,equicorrgauss,2,equicorrgauss/equicorrgauss_2,0.6,0.8,equicorrgauss/equicorrgauss_2,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_2_elastic_net_1se_1,elastic_net_1se/equicorrgauss_2_elastic_net_1se_1,mse/equicorrgauss_2_elastic_net_1se_1_predict_linear_1_mse_1,NA
1,equicorrgauss,5,equicorrgauss/equicorrgauss_3,0.6,0.8,equicorrgauss/equicorrgauss_3,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_3_elastic_net_1se_1,elastic_net_1se/equicorrgauss_3_elastic_net_1se_1,mse/equicorrgauss_3_elastic_net_1se_1_predict_linear_1_mse_1,NA
1,equicorrgauss,10,equicorrgauss/equicorrgauss_4,0.6,0.8,equicorrgauss/equicorrgauss_4,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_4_elastic_net_1se_1,elastic_net_1se/equicorrgauss_4_elastic_net_1se_1,mse/equicorrgauss_4_elastic_net_1se_1_predict_linear_1_mse_1,NA
2,equicorrgauss,1,equicorrgauss/equicorrgauss_5,0.6,0.8,equicorrgauss/equicorrgauss_5,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_5_elastic_net_1se_1,elastic_net_1se/equicorrgauss_5_elastic_net_1se_1,mse/equicorrgauss_5_elastic_net_1se_1_predict_linear_1_mse_1,NA
2,equicorrgauss,2,equicorrgauss/equicorrgauss_6,0.6,0.8,equicorrgauss/equicorrgauss_6,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_6_elastic_net_1se_1,elastic_net_1se/equicorrgauss_6_elastic_net_1se_1,mse/equicorrgauss_6_elastic_net_1se_1_predict_linear_1_mse_1,NA
2,equicorrgauss,5,equicorrgauss/equicorrgauss_7,0.6,0.8,equicorrgauss/equicorrgauss_7,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_7_elastic_net_1se_1,elastic_net_1se/equicorrgauss_7_elastic_net_1se_1,mse/equicorrgauss_7_elastic_net_1se_1_predict_linear_1_mse_1,NA
2,equicorrgauss,10,equicorrgauss/equicorrgauss_8,0.6,0.8,equicorrgauss/equicorrgauss_8,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_8_elastic_net_1se_1,elastic_net_1se/equicorrgauss_8_elastic_net_1se_1,mse/equicorrgauss_8_elastic_net_1se_1_predict_linear_1_mse_1,NA
1,equicorrgauss,1,equicorrgauss/equicorrgauss_1,0.6,0.8,equicorrgauss/equicorrgauss_1,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_1_elastic_net_1se_1,elastic_net_1se/equicorrgauss_1_elastic_net_1se_1,NA,coef_mse/equicorrgauss_1_elastic_net_1se_1_coef_mse_1
1,equicorrgauss,2,equicorrgauss/equicorrgauss_2,0.6,0.8,equicorrgauss/equicorrgauss_2,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_2_elastic_net_1se_1,elastic_net_1se/equicorrgauss_2_elastic_net_1se_1,NA,coef_mse/equicorrgauss_2_elastic_net_1se_1_coef_mse_1
1,equicorrgauss,5,equicorrgauss/equicorrgauss_3,0.6,0.8,equicorrgauss/equicorrgauss_3,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_3_elastic_net_1se_1,elastic_net_1se/equicorrgauss_3_elastic_net_1se_1,NA,coef_mse/equicorrgauss_3_elastic_net_1se_1_coef_mse_1
1,equicorrgauss,10,equicorrgauss/equicorrgauss_4,0.6,0.8,equicorrgauss/equicorrgauss_4,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_4_elastic_net_1se_1,elastic_net_1se/equicorrgauss_4_elastic_net_1se_1,NA,coef_mse/equicorrgauss_4_elastic_net_1se_1_coef_mse_1
2,equicorrgauss,1,equicorrgauss/equicorrgauss_5,0.6,0.8,equicorrgauss/equicorrgauss_5,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_5_elastic_net_1se_1,elastic_net_1se/equicorrgauss_5_elastic_net_1se_1,NA,coef_mse/equicorrgauss_5_elastic_net_1se_1_coef_mse_1
2,equicorrgauss,2,equicorrgauss/equicorrgauss_6,0.6,0.8,equicorrgauss/equicorrgauss_6,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_6_elastic_net_1se_1,elastic_net_1se/equicorrgauss_6_elastic_net_1se_1,NA,coef_mse/equicorrgauss_6_elastic_net_1se_1_coef_mse_1
2,equicorrgauss,5,equicorrgauss/equicorrgauss_7,0.6,0.8,equicorrgauss/equicorrgauss_7,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_7_elastic_net_1se_1,elastic_net_1se/equicorrgauss_7_elastic_net_1se_1,NA,coef_mse/equicorrgauss_7_elastic_net_1se_1_coef_mse_1
2,equicorrgauss,10,equicorrgauss/equicorrgauss_8,0.6,0.8,equicorrgauss/equicorrgauss_8,"(50,200)",elastic_net_1se,elastic_net_1se/equicorrgauss_8_elastic_net_1se_1,elastic_net_1se/equicorrgauss_8_elastic_net_1se_1,NA,coef_mse/equicorrgauss_8_elastic_net_1se_1_coef_mse_1
1,equicorrgauss,1,equicorrgauss/equicorrgauss_1,0.6,0.8,equicorrgauss/equicorrgauss_1,"(50,200)",scad,scad/equicorrgauss_1_scad_1,scad/equicorrgauss_1_scad_1,mse/equicorrgauss_1_scad_1_predict_linear_1_mse_1,NA
1,equicorrgauss,2,equicorrgauss/equicorrgauss_2,0.6,0.8,equicorrgauss/equicorrgauss_2,"(50,200)",scad,scad/equicorrgauss_2_scad_1,scad/equicorrgauss_2_scad_1,mse/equicorrgauss_2_scad_1_predict_linear_1_mse_1,NA
1,equicorrgauss,5,equicorrgauss/equicorrgauss_3,0.6,0.8,equicorrgauss/equicorrgauss_3,"(50,200)",scad,scad/equicorrgauss_3_scad_1,scad/equicorrgauss_3_scad_1,mse/equicorrgauss_3_scad_1_predict_linear_1_mse_1,NA
1,equicorrgauss,10,equicorrgauss/equicorrgauss_4,0.6,0.8,equicorrgauss/equicorrgauss_4,"(50,200)",scad,scad/equicorrgauss_4_scad_1,scad/equicorrgauss_4_scad_1,mse/equicorrgauss_4_scad_1_predict_linear_1_mse_1,NA
2,equicorrgauss,1,equicorrgauss/equicorrgauss_5,0.6,0.8,equicorrgauss/equicorrgauss_5,"(50,200)",scad,scad/equicorrgauss_5_scad_1,scad/equicorrgauss_5_scad_1,mse/equicorrgauss_5_scad_1_predict_linear_1_mse_1,NA
2,equicorrgauss,2,equicorrgauss/equicorrgauss_6,0.6,0.8,equicorrgauss/equicorrgauss_6,"(50,200)",scad,scad/equicorrgauss_6_scad_1,scad/equicorrgauss_6_scad_1,mse/equicorrgauss_6_scad_1_predict_linear_1_mse_1,NA
2,equicorrgauss,5,equicorrgauss/equicorrgauss_7,0.6,0.8,equicorrgauss/equicorrgauss_7,"(50,200)",scad,scad/equicorrgauss_7_scad_1,scad/equicorrgauss_7_scad_1,mse/equicorrgauss_7_scad_1_predict_linear_1_mse_1,NA
2,equicorrgauss,10,equicorrgauss/equicorrgauss_8,0.6,0.8,equicorrgauss/equicorrgauss_8,"(50,200)",scad,scad/equicorrgauss_8_scad_1,scad/equicorrgauss_8_scad_1,mse/equicorrgauss_8_scad_1_predict_linear_1_mse_1,NA
1,equicorrgauss,1,equicorrgauss/equicorrgauss_1,0.6,0.8,equicorrgauss/equicorrgauss_1,"(50,200)",scad,scad/equicorrgauss_1_scad_1,scad/equicorrgauss_1_scad_1,NA,coef_mse/equicorrgauss_1_scad_1_coef_mse_1
1,equicorrgauss,2,equicorrgauss/equicorrgauss_2,0.6,0.8,equicorrgauss/equicorrgauss_2,"(50,200)",scad,scad/equicorrgauss_2_scad_1,scad/equicorrgauss_2_scad_1,NA,coef_mse/equicorrgauss_2_scad_1_coef_mse_1
1,equicorrgauss,5,equicorrgauss/equicorrgauss_3,0.6,0.8,equicorrgauss/equicorrgauss_3,"(50,200)",scad,scad/equicorrgauss_3_scad_1,scad/equicorrgauss_3_scad_1,NA,coef_mse/equicorrgauss_3_scad_1_coef_mse_1
1,equicorrgauss,10,equicorrgauss/equicorrgauss_4,0.6,0.8,equicorrgauss/equicorrgauss_4,"(50,200)",scad,scad/equicorrgauss_4_scad_1,scad/equicorrgauss_4_scad_1,NA,coef_mse/equicorrgauss_4_scad_1_coef_mse_1
2,equicorrgauss,1,equicorrgauss/equicorrgauss_5,0.6,0.8,equicorrgauss/equicorrgauss_5,"(50,200)",scad,scad/equicorrgauss_5_scad_1,scad/equicorrgauss_5_scad_1,NA,coef_mse/equicorrgauss_5_scad_1_coef_mse_1
2,equicorrgauss,2,equicorrgauss/equicorrgauss_6,0.6,0.8,equicorrgauss/equicorrgauss_6,"(50,200)",scad,scad/equicorrgauss_6_scad_1,scad/equicorrgauss_6_scad_1,NA,coef_mse/equicorrgauss_6_scad_1_coef_mse_1
2,equicorrgauss,5,equicorrgauss/equicorrgauss_7,0.6,0.8,equicorrgauss/equicorrgauss_7,"(50,200)",scad,scad/equicorrgauss_7_scad_1,scad/equicorrgauss_7_scad_1,NA,coef_mse/equicorrgauss_7_scad_1_coef_mse_1
2,equicorrgauss,10,equicorrgauss/equicorrgauss_8,0.6,0.8,equicorrgauss/equicorrgauss_8,"(50,200)",scad,scad/equicorrgauss_8_scad_1,scad/equicorrgauss_8_scad_1,NA,coef_mse/equicorrgauss_8_scad_1_coef_mse_1
1,equicorrgauss,1,equicorrgauss/equicorrgauss_1,0.6,0.8,equicorrgauss/equicorrgauss_1,"(50,200)",mcp,mcp/equicorrgauss_1_mcp_1,mcp/equicorrgauss_1_mcp_1,mse/equicorrgauss_1_mcp_1_predict_linear_1_mse_1,NA
1,equicorrgauss,2,equicorrgauss/equicorrgauss_2,0.6,0.8,equicorrgauss/equicorrgauss_2,"(50,200)",mcp,mcp/equicorrgauss_2_mcp_1,mcp/equicorrgauss_2_mcp_1,mse/equicorrgauss_2_mcp_1_predict_linear_1_mse_1,NA
1,equicorrgauss,5,equicorrgauss/equicorrgauss_3,0.6,0.8,equicorrgauss/equicorrgauss_3,"(50,200)",mcp,mcp/equicorrgauss_3_mcp_1,mcp/equicorrgauss_3_mcp_1,mse/equicorrgauss_3_mcp_1_predict_linear_1_mse_1,NA
1,equicorrgauss,10,equicorrgauss/equicorrgauss_4,0.6,0.8,equicorrgauss/equicorrgauss_4,"(50,200)",mcp,mcp/equicorrgauss_4_mcp_1,mcp/equicorrgauss_4_mcp_1,mse/equicorrgauss_4_mcp_1_predict_linear_1_mse_1,NA
2,equicorrgauss,1,equicorrgauss/equicorrgauss_5,0.6,0.8,equicorrgauss/equicorrgauss_5,"(50,200)",mcp,mcp/equicorrgauss_5_mcp_1,mcp/equicorrgauss_5_mcp_1,mse/equicorrgauss_5_mcp_1_predict_linear_1_mse_1,NA
2,equicorrgauss,2,equicorrgauss/equicorrgauss_6,0.6,0.8,equicorrgauss/equicorrgauss_6,"(50,200)",mcp,mcp/equicorrgauss_6_mcp_1,mcp/equicorrgauss_6_mcp_1,mse/equicorrgauss_6_mcp_1_predict_linear_1_mse_1,NA
2,equicorrgauss,5,equicorrgauss/equicorrgauss_7,0.6,0.8,equicorrgauss/equicorrgauss_7,"(50,200)",mcp,mcp/equicorrgauss_7_mcp_1,mcp/equicorrgauss_7_mcp_1,mse/equicorrgauss_7_mcp_1_predict_linear_1_mse_1,NA
2,equicorrgauss,10,equicorrgauss/equicorrgauss_8,0.6,0.8,equicorrgauss/equicorrgauss_8,"(50,200)",mcp,mcp/equicorrgauss_8_mcp_1,mcp/equicorrgauss_8_mcp_1,mse/equicorrgauss_8_mcp_1_predict_linear_1_mse_1,NA
1,equicorrgauss,1,equicorrgauss/equicorrgauss_1,0.6,0.8,equicorrgauss/equicorrgauss_1,"(50,200)",mcp,mcp/equicorrgauss_1_mcp_1,mcp/equicorrgauss_1_mcp_1,NA,coef_mse/equicorrgauss_1_mcp_1_coef_mse_1
1,equicorrgauss,2,equicorrgauss/equicorrgauss_2,0.6,0.8,equicorrgauss/equicorrgauss_2,"(50,200)",mcp,mcp/equicorrgauss_2_mcp_1,mcp/equicorrgauss_2_mcp_1,NA,coef_mse/equicorrgauss_2_mcp_1_coef_mse_1
1,equicorrgauss,5,equicorrgauss/equicorrgauss_3,0.6,0.8,equicorrgauss/equicorrgauss_3,"(50,200)",mcp,mcp/equicorrgauss_3_mcp_1,mcp/equicorrgauss_3_mcp_1,NA,coef_mse/equicorrgauss_3_mcp_1_coef_mse_1
1,equicorrgauss,10,equicorrgauss/equicorrgauss_4,0.6,0.8,equicorrgauss/equicorrgauss_4,"(50,200)",mcp,mcp/equicorrgauss_4_mcp_1,mcp/equicorrgauss_4_mcp_1,NA,coef_mse/equicorrgauss_4_mcp_1_coef_mse_1
2,equicorrgauss,1,equicorrgauss/equicorrgauss_5,0.6,0.8,equicorrgauss/equicorrgauss_5,"(50,200)",mcp,mcp/equicorrgauss_5_mcp_1,mcp/equicorrgauss_5_mcp_1,NA,coef_mse/equicorrgauss_5_mcp_1_coef_mse_1
2,equicorrgauss,2,equicorrgauss/equicorrgauss_6,0.6,0.8,equicorrgauss/equicorrgauss_6,"(50,200)",mcp,mcp/equicorrgauss_6_mcp_1,mcp/equicorrgauss_6_mcp_1,NA,coef_mse/equicorrgauss_6_mcp_1_coef_mse_1
2,equicorrgauss,5,equicorrgauss/equicorrgauss_7,0.6,0.8,equicorrgauss/equicorrgauss_7,"(50,200)",mcp,mcp/equicorrgauss_7_mcp_1,mcp/equicorrgauss_7_mcp_1,NA,coef_mse/equicorrgauss_7_mcp_1_coef_mse_1
2,equicorrgauss,10,equicorrgauss/equicorrgauss_8,0.6,0.8,equicorrgauss/equicorrgauss_8,"(50,200)",mcp,mcp/equicorrgauss_8_mcp_1,mcp/equicorrgauss_8_mcp_1,NA,coef_mse/equicorrgauss_8_mcp_1_coef_mse_1
1,equicorrgauss,1,equicorrgauss/equicorrgauss_1,0.6,0.8,equicorrgauss/equicorrgauss_1,"(50,200)",l0learn,l0learn/equicorrgauss_1_l0learn_1,l0learn/equicorrgauss_1_l0learn_1,mse/equicorrgauss_1_l0learn_1_predict_linear_1_mse_1,NA
1,equicorrgauss,2,equicorrgauss/equicorrgauss_2,0.6,0.8,equicorrgauss/equicorrgauss_2,"(50,200)",l0learn,l0learn/equicorrgauss_2_l0learn_1,l0learn/equicorrgauss_2_l0learn_1,mse/equicorrgauss_2_l0learn_1_predict_linear_1_mse_1,NA
1,equicorrgauss,5,equicorrgauss/equicorrgauss_3,0.6,0.8,equicorrgauss/equicorrgauss_3,"(50,200)",l0learn,l0learn/equicorrgauss_3_l0learn_1,l0learn/equicorrgauss_3_l0learn_1,mse/equicorrgauss_3_l0learn_1_predict_linear_1_mse_1,NA
1,equicorrgauss,10,equicorrgauss/equicorrgauss_4,0.6,0.8,equicorrgauss/equicorrgauss_4,"(50,200)",l0learn,l0learn/equicorrgauss_4_l0learn_1,l0learn/equicorrgauss_4_l0learn_1,mse/equicorrgauss_4_l0learn_1_predict_linear_1_mse_1,NA
2,equicorrgauss,1,equicorrgauss/equicorrgauss_5,0.6,0.8,equicorrgauss/equicorrgauss_5,"(50,200)",l0learn,l0learn/equicorrgauss_5_l0learn_1,l0learn/equicorrgauss_5_l0learn_1,mse/equicorrgauss_5_l0learn_1_predict_linear_1_mse_1,NA
2,equicorrgauss,2,equicorrgauss/equicorrgauss_6,0.6,0.8,equicorrgauss/equicorrgauss_6,"(50,200)",l0learn,l0learn/equicorrgauss_6_l0learn_1,l0learn/equicorrgauss_6_l0learn_1,mse/equicorrgauss_6_l0learn_1_predict_linear_1_mse_1,NA
2,equicorrgauss,5,equicorrgauss/equicorrgauss_7,0.6,0.8,equicorrgauss/equicorrgauss_7,"(50,200)",l0learn,l0learn/equicorrgauss_7_l0learn_1,l0learn/equicorrgauss_7_l0learn_1,mse/equicorrgauss_7_l0learn_1_predict_linear_1_mse_1,NA
2,equicorrgauss,10,equicorrgauss/equicorrgauss_8,0.6,0.8,equicorrgauss/equicorrgauss_8,"(50,200)",l0learn,l0learn/equicorrgauss_8_l0learn_1,l0learn/equicorrgauss_8_l0learn_1,mse/equicorrgauss_8_l0learn_1_predict_linear_1_mse_1,NA
1,equicorrgauss,1,equicorrgauss/equicorrgauss_1,0.6,0.8,equicorrgauss/equicorrgauss_1,"(50,200)",l0learn,l0learn/equicorrgauss_1_l0learn_1,l0learn/equicorrgauss_1_l0learn_1,NA,coef_mse/equicorrgauss_1_l0learn_1_coef_mse_1
1,equicorrgauss,2,equicorrgauss/equicorrgauss_2,0.6,0.8,equicorrgauss/equicorrgauss_2,"(50,200)",l0learn,l0learn/equicorrgauss_2_l0learn_1,l0learn/equicorrgauss_2_l0learn_1,NA,coef_mse/equicorrgauss_2_l0learn_1_coef_mse_1
1,equicorrgauss,5,equicorrgauss/equicorrgauss_3,0.6,0.8,equicorrgauss/equicorrgauss_3,"(50,200)",l0learn,l0learn/equicorrgauss_3_l0learn_1,l0learn/equicorrgauss_3_l0learn_1,NA,coef_mse/equicorrgauss_3_l0learn_1_coef_mse_1
1,equicorrgauss,10,equicorrgauss/equicorrgauss_4,0.6,0.8,equicorrgauss/equicorrgauss_4,"(50,200)",l0learn,l0learn/equicorrgauss_4_l0learn_1,l0learn/equicorrgauss_4_l0learn_1,NA,coef_mse/equicorrgauss_4_l0learn_1_coef_mse_1
2,equicorrgauss,1,equicorrgauss/equicorrgauss_5,0.6,0.8,equicorrgauss/equicorrgauss_5,"(50,200)",l0learn,l0learn/equicorrgauss_5_l0learn_1,l0learn/equicorrgauss_5_l0learn_1,NA,coef_mse/equicorrgauss_5_l0learn_1_coef_mse_1
2,equicorrgauss,2,equicorrgauss/equicorrgauss_6,0.6,0.8,equicorrgauss/equicorrgauss_6,"(50,200)",l0learn,l0learn/equicorrgauss_6_l0learn_1,l0learn/equicorrgauss_6_l0learn_1,NA,coef_mse/equicorrgauss_6_l0learn_1_coef_mse_1
2,equicorrgauss,5,equicorrgauss/equicorrgauss_7,0.6,0.8,equicorrgauss/equicorrgauss_7,"(50,200)",l0learn,l0learn/equicorrgauss_7_l0learn_1,l0learn/equicorrgauss_7_l0learn_1,NA,coef_mse/equicorrgauss_7_l0learn_1_coef_mse_1
2,equicorrgauss,10,equicorrgauss/equicorrgauss_8,0.6,0.8,equicorrgauss/equicorrgauss_8,"(50,200)",l0learn,l0learn/equicorrgauss_8_l0learn_1,l0learn/equicorrgauss_8_l0learn_1,NA,coef_mse/equicorrgauss_8_l0learn_1_coef_mse_1
